brand,model,model_year,engine_volume,engine_type,transmission,fuel_type,ext_col,mileage in miles,damage,price_usd
Kia,limited_model,2022,1.6,4Cyl,6-speed auto,Hybrid,blue,36602,None reported,31995
Other,R1S Adventure Package,2023,0.0,,automatic,,white,2800,None reported,92000
Other,DBS Superleggera,2021,5.2,12Cyl,8-speed auto,Gasoline,black,2165,None reported,279950
Mercedes-Benz,SLC 300 Base,2018,2.0,4Cyl,9-speed auto,Gasoline,red,33000,Damage reported,29900
BMW,435 Gran Coupe i,2016,3.0,I6,8-speed auto,Gasoline,white,76009,None reported,24950
Jeep,limited_model,2020,5.7,V8,8-speed auto,Gasoline,N/A,31349,None reported,39366
Lexus,RC 350 Base,2015,3.5,V6,automatic,Gasoline,N/A,48000,None reported,32900
BMW,limited_model,2005,2.5,I6,6-speed auto,Gasoline,black,91420,None reported,8900
Toyota,Corolla LE,2003,1.8,4Cyl,6-speed manual,Gasoline,N/A,124756,Damage reported,4995
Cadillac,limited_model,2023,6.2,V8,10-speed auto,Gasoline,N/A,2415,None reported,104900
GMC,Acadia SLT-1,2012,3.6,V6,6-speed auto,Gasoline,black,116226,None reported,7900
Lexus,LC 500 Base,2020,5.0,V8,10-speed auto,Gasoline,silver,37869,None reported,75950
BMW,i8 Base,2019,1.5,3Cyl,automatic,Hybrid,white,41500,None reported,86000
Lexus,ES 300h Base,2013,2.5,4Cyl,automatic,Hybrid,N/A,87001,None reported,17995
Cadillac,limited_model,2022,3.0,V6,automatic,Gasoline,white,4451,Damage reported,55655
BMW,540 i xDrive,2020,2.0,,automatic,Gasoline,blue,27158,None reported,39998
Chevrolet,Express 1500 Work Van,2014,4.3,V6,automatic,Gasoline,white,139804,Damage reported,14500
Jeep,Gladiator Rubicon,2022,3.6,V6,automatic,Gasoline,N/A,27300,None reported,47500
BMW,Z4 sDrive28i,2014,2.0,4Cyl,automatic,Gasoline,white,36812,None reported,27000
Land Rover,LR4 HSE LUX Landmark Edition,2016,3.0,V6,8-speed auto,Gasoline,black,144000,Damage reported,18000
Cadillac,limited_model,2019,2.0,4Cyl,9-speed auto,Gasoline,blue,44500,None reported,28900
BMW,limited_model,2021,4.4,,automatic,Gasoline,black,10917,None reported,73998
Other,Arnage R,2005,6.75,V8,automatic,Gasoline,white,8332,None reported,47350
Other,Aviator Reserve AWD,2020,3.0,,automatic,Gasoline,grey,51247,None reported,47698
Mercedes-Benz,limited_model,2016,5.5,V8,automatic,Gasoline,black,69000,None reported,36500
RAM,ProMaster 3500 High Roof,2021,3.6,V6,6-speed auto,Gasoline,white,147834,None reported,32662
Ford,Utility Police Interceptor Base,2013,3.7,V6,automatic,E85 Flex Fuel,white,105000,Damage reported,6600
Audi,A5 2.0T Premium,2011,2.0,4Cyl,automatic,Gasoline,red,92203,None reported,9995
Nissan,GT-R Premium,2010,3.8,V6,automatic,Gasoline,white,15600,None reported,69500
Land Rover,Range Rover Sport 3.0L Supercharged HSE,2018,,V6,automatic,Gasoline,white,104700,Damage reported,30775
Toyota,Corolla LE,2010,1.8,4Cyl,automatic,Gasoline,red,72348,Damage reported,9995
Other,R1S Adventure Package,2023,0.0,,automatic,,N/A,2500,None reported,94000
Mercedes-Benz,C-Class C300 4MATIC,2022,2.0,,automatic,Gasoline,white,13177,None reported,44798
Porsche,limited_model,2016,3.0,V6,automatic,Hybrid,white,96000,Damage reported,23000
Chevrolet,Express 1500 Work Van,2011,5.3,V8,automatic,E85 Flex Fuel,white,93009,None reported,22495
INFINITI,limited_model,2016,3.5,V6,7-speed auto,Hybrid,white,52750,Damage reported,28998
Audi,limited_model,2020,3.0,,automatic,Hybrid,grey,25361,None reported,49998
Audi,Q7 3.0T Premium Plus,2015,3.0,V6,8-speed auto,Gasoline,black,98527,,9995
Other,limited_model,2023,0.0,,automatic,,black,1300,,86900
Other,Pacifica Touring,2017,,,9-speed auto,Gasoline,silver,87305,None reported,9000
Audi,TTS 2.0T Premium Plus,2012,2.0,4Cyl,6-speed auto,Gasoline,white,72922,,25999
BMW,650 Gran Coupe i xDrive,2015,4.4,V8,8-speed auto,Gasoline,black,41000,None reported,30000
Subaru,limited_model,2021,2.5,4Cyl,automatic,Gasoline,black,42125,None reported,27899
Mercedes-Benz,limited_model,2016,4.0,V8,automatic,Gasoline,black,62000,None reported,40000
Land Rover,limited_model,2006,4.4,V8,6-speed auto,Gasoline,red,153843,Damage reported,9950
BMW,X7 xDrive40i,2019,3.0,,automatic,Gasoline,grey,35248,None reported,53998
Ford,Transit Connect XLT,2015,2.5,4Cyl,6-speed auto,Gasoline,white,194454,None reported,9888
Lexus,LX 570 Three-Row,2021,5.7,V8,automatic,Gasoline,white,21000,None reported,89999
Porsche,911 Carrera S,2013,3.8,H6,6-speed manual,Gasoline,black,18494,,86900
Dodge,Ram 2500 Laramie Quad Cab,2006,5.7,V8,automatic,Gasoline,red,218000,None reported,12990
Nissan,Armada SL,2021,5.6,V8,7-speed auto,Gasoline,silver,67800,Damage reported,36500
Porsche,Cayman Base,2014,2.7,H6,automatic,Gasoline,red,79000,Damage reported,42999
Mercedes-Benz,limited_model,2022,3.0,,automatic,Hybrid,grey,24906,None reported,63998
Chevrolet,Monte Carlo SS,2006,5.3,V8,automatic,Gasoline,white,66840,Damage reported,12000
BMW,M5 Base,2013,4.4,V8,automatic,Gasoline,blue,86000,None reported,32000
Hyundai,limited_model,2023,2.0,4Cyl,8-speed auto,Gasoline,black,654,None reported,34599
Chevrolet,Monte Carlo SS,2005,3.8,V6,automatic,Gasoline,black,75000,None reported,12500
Land Rover,Range Rover Evoque Pure,2015,2.0,4Cyl,9-speed auto,Gasoline,N/A,84000,Damage reported,22800
Audi,limited_model,2017,4.0,V8,automatic,Gasoline,grey,52500,None reported,39999
GMC,Acadia SLT-1,2011,3.6,V6,6-speed auto,Gasoline,silver,120000,None reported,7500
Other,Romeo Stelvio Ti Sport,2020,2.0,4Cyl,8-speed auto,Gasoline,white,18665,None reported,35645
Other,limited_model,2016,6.3,12Cyl,7-speed auto,Gasoline,black,19987,None reported,149900
Kia,limited_model,2017,5.0,V8,8-speed auto,Gasoline,black,36486,Damage reported,23950
Ford,limited_model,2013,5.4,V8,automatic,E85 Flex Fuel,black,162100,None reported,12500
Tesla,Model 3 Performance,2022,0.0,,automatic,,black,13079,None reported,47000
Toyota,4Runner SR5,2022,4.0,V6,automatic,Gasoline,silver,28377,None reported,36999
